,latitude,longitude,price,bedrooms,bathrooms,homeType,homeStatus
281,21.396315,-157.9995,1000000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
282,21.507921,-158.01326,1250000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
283,21.38641,-157.93925,389000.0,3.0,2.0,CONDO,FOR_SALE
284,21.347212,-157.90413,658000.0,2.0,2.0,CONDO,FOR_SALE
285,21.2906,-157.78947,1399000.0,3.0,1.0,SINGLE_FAMILY,FOR_SALE
286,21.4233,-157.79625,875000.0,3.0,2.0,CONDO,FOR_SALE
287,21.33145,-158.01521,800000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
288,21.26226,-157.79019,4800000.0,3.0,4.0,SINGLE_FAMILY,FOR_SALE
289,21.348886,-157.91162,450000.0,2.0,1.0,CONDO,FOR_SALE
290,21.284391,-157.7705,1275000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
291,21.581963,-158.12437,1698000.0,6.0,4.0,MULTI_FAMILY,FOR_SALE
292,21.408297,-157.8201,1499999.0,4.0,4.0,SINGLE_FAMILY,FOR_SALE
293,21.291784,-157.8282,299900.0,2.0,1.0,CONDO,FOR_SALE
294,21.390648,-157.93211,465000.0,2.0,2.0,CONDO,FOR_SALE
295,21.28723,-157.82571,479000.0,2.0,1.0,CONDO,FOR_SALE
296,21.403805,-158.15167,825000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
297,21.285048,-157.83829,250000.0,1.0,1.0,CONDO,FOR_SALE
298,21.395872,-158.03546,1288000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
299,21.3351,-157.69615,4850000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
300,21.314638,-158.0122,979000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
301,21.329718,-157.86342,1390000.0,5.0,4.0,SINGLE_FAMILY,FOR_SALE
302,21.347183,-158.02342,950000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
303,21.29949,-157.82332,1750000.0,5.0,3.0,SINGLE_FAMILY,FOR_SALE
304,21.484232,-158.18936,899000.0,,,LOT,FOR_SALE
305,21.29961,-157.69429,2688000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
306,21.39249,-158.00137,1198000.0,7.0,4.0,MULTI_FAMILY,FOR_SALE
307,21.392475,-158.00137,1186000.0,7.0,4.0,MULTI_FAMILY,FOR_SALE
308,21.31569,-158.01952,879000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
309,21.378885,-157.93091,199900.0,1.0,1.0,CONDO,FOR_SALE
310,21.305098,-157.83778,499000.0,2.0,1.0,CONDO,FOR_SALE
311,21.3355,-158.01428,855000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
312,21.273153,-157.78221,2188000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
313,21.27527,-157.78818,2399000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
314,21.346273,-157.83061,2388000.0,4.0,4.0,SINGLE_FAMILY,FOR_SALE
315,21.383877,-157.99736,925000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
316,21.281092,-157.70071,1575000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
317,21.306244,-157.84204,360000.0,1.0,1.0,CONDO,FOR_SALE
318,21.29264,-157.69757,3365000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
319,21.364597,-158.08412,890000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
320,21.43542,-158.02013,1228000.0,5.0,3.0,SINGLE_FAMILY,FOR_SALE
321,21.288952,-157.79083,2485000.0,5.0,4.0,SINGLE_FAMILY,FOR_SALE
322,21.431538,-158.0239,995000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
323,21.301552,-157.79047,950000.0,4.0,2.0,SINGLE_FAMILY,FOR_SALE
324,21.321098,-158.02725,869900.0,3.0,3.0,CONDO,FOR_SALE
325,21.42537,-157.76178,850000.0,4.0,2.0,TOWNHOUSE,FOR_SALE
326,21.308065,-158.02426,1245000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
327,21.308378,-158.02396,1245000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
328,21.44611,-157.83841,885000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
329,21.448809,-158.1648,988888.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
330,21.395674,-157.99796,1545000.0,9.0,6.0,SINGLE_FAMILY,FOR_SALE
331,21.314045,-158.02548,1380000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
332,21.309935,-157.85344,95000.0,1.0,1.0,CONDO,FOR_SALE
333,21.337957,-158.01686,749900.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
334,21.343035,-157.87659,2180000.0,,,MULTI_FAMILY,FOR_SALE
335,21.352821,-157.92505,1198000.0,8.0,3.0,SINGLE_FAMILY,FOR_SALE
336,21.390715,-157.71788,4675000.0,3.0,5.0,SINGLE_FAMILY,FOR_SALE
337,21.402021,-157.75322,1499000.0,4.0,2.0,SINGLE_FAMILY,FOR_SALE
338,21.401903,-157.7534,1599000.0,3.0,3.0,SINGLE_FAMILY,FOR_SALE
339,21.472237,-158.21481,659000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
340,21.299358,-157.83582,389000.0,1.0,1.0,CONDO,FOR_SALE
341,21.367954,-158.09154,1650000.0,3.0,4.0,SINGLE_FAMILY,FOR_SALE
342,21.692736,-158.01819,550000.0,,,LOT,FOR_SALE
343,21.341911,-157.87556,1925000.0,17.0,6.0,SINGLE_FAMILY,FOR_SALE
344,21.32395,-157.85622,725000.0,3.0,1.0,SINGLE_FAMILY,FOR_SALE
345,21.3356,-158.06,849000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
346,21.298466,-157.83574,540000.0,3.0,2.0,CONDO,FOR_SALE
